,index,ID,genre,book_lenght,book_sen,book_word,lenght_book,number_sen,number_word,number_of_stop_words,number_of_foreignwords,count_dial_break,noun,verb,adj,ProperNoun,num,Puch,she,he,she_he_ratio,period,comma,colon,semi_colon,exl,q
43,26,373,Literary,524505,5803,116188,0.00965498155667597,0.009039489937862268,0.009702073819531474,0.3847471339553138,0.0001807415567872758,144,0.1938324095431542,0.14404241401865941,0.05470444452094881,0.0,0.005043550108444934,0.04998795056288085,1151,3778,0.3046585494970884,0.044402175784074085,0.07708197059937343,0.000301235927978793,0.010526043997658966,0.0023668537198333734,0.0046476400316728065
44,390,343,Literary,374285,4808,84873,0.006889762293858905,0.007489551545966188,0.007087170028618229,0.37927256017814853,0.00011782310039706384,137,0.15459569003098747,0.17507334487999718,0.05051076314022127,0.0,0.004500842435167839,0.05726202679297303,3168,1528,2.073298429319372,0.05468170089427733,0.0636598211445336,0.000459510091548549,0.0012489248642088768,0.005478774168463469,0.004276978544413418
45,163,263,Ghost and Horror,79521,548,17093,0.0014638064239014493,0.0008536344108131179,0.001427320788698071,0.4428713508453753,5.8503480957116946e-05,18,0.1480138068215059,0.15339612706956063,0.06172117240975838,0.0,0.0032761949335985492,0.03205990756450009,177,851,0.20799059929494712,0.026502076873573976,0.07371438600596736,0.0015795939858421577,0.008951032586438893,0.0025156496811560287,0.0037442227812554845
46,171,271,Ghost and Horror,374778,3490,76901,0.006898837337771625,0.005436467324339018,0.006421482242536147,0.3806842563815815,7.802239242662644e-05,66,0.18730575675218789,0.13760549277642684,0.07969987386379891,0.0,0.0028998322518562825,0.04539602866022548,891,2482,0.3589846897663175,0.043627521098555284,0.07669601175537379,0.00015604478485325288,0.004226212923108932,0.0015214366523192157,0.0026397576104341945
47,174,274,Ghost and Horror,195403,1782,41861,0.0035969387539092177,0.0027758695621696644,0.003495528902807579,0.4116002962184372,0.00014333150187525383,100,0.1757005327154153,0.16485511574018777,0.058431475597811804,0.0,0.002938295788442703,0.04256945605695038,392,1239,0.3163841807909605,0.036645087312773224,0.06504861326771935,0.0013616492678149112,0.008384892859702349,0.002556078450108693,0.005064379732925635
48,156,256,Ghost and Horror,195403,1782,41861,0.0035969387539092177,0.0027758695621696644,0.003495528902807579,0.4116002962184372,0.00014333150187525383,100,0.1757005327154153,0.16485511574018777,0.058431475597811804,0.0,0.002938295788442703,0.04256945605695038,392,1239,0.3163841807909605,0.036645087312773224,0.06504861326771935,0.0013616492678149112,0.008384892859702349,0.002556078450108693,0.005064379732925635
49,138,238,Christmas Stories,159569,1973,36008,0.002937313756813048,0.0030733954243326307,0.003006784470803261,0.3767773828038214,5.554321261941791e-05,96,0.18162630526549656,0.1513552543879138,0.0583203732503888,0.0,0.004998889135747611,0.054793379249055765,167,1092,0.15293040293040294,0.039907798267051764,0.07787158409242391,0.0016385247722728283,0.009775605421017552,0.011164185736503,0.004943345923128194
50,125,225,Christmas Stories,35681,514,8444,0.0006568086041577396,0.0008006716918940559,0.0007051013128044528,0.37801989578398865,0.0,28,0.16283751776409286,0.16200852676456656,0.05281856939838939,0.0,0.004500236854571293,0.060990052108005684,263,185,1.4216216216216215,0.04997631454287068,0.06371387967787778,0.0011842728564661299,0.006987209853150165,0.004500236854571293,0.006513500710563714
51,101,201,Allegories,337103,4179,73579,0.006205323586429374,0.00650974124596354,0.0061440844972570855,0.3728237676510961,6.795417170660107e-05,9,0.18615365797306296,0.1546365131355414,0.06452928145258838,0.0,0.005653787085989209,0.056796096712377175,1722,2433,0.7077681874229347,0.045705975889859876,0.06870166759537367,0.003261800241916851,0.010492124111499204,0.005653787085989209,0.005653787085989209
52,161,261,Ghost and Horror,316109,2375,68049,0.005818870296563967,0.003699601689199188,0.005682311610022526,0.4103513644579641,0.00022042939646431248,118,0.1870857764258108,0.156460785610369,0.06173492630310511,0.0,0.005393172566826846,0.03490132110684947,177,1558,0.11360718870346598,0.03419594703816368,0.06781877764552013,0.0005290305515143499,0.009934018133991682,0.0004996399653191082,0.0026451527575717497
